Mon, 29 Jun 2020 16:11:16 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:11:16 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:11:16 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:11:16 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:11:32 GMT | INFO | loggers.log | Verified User has valid token | 
Mon, 29 Jun 2020 16:11:33 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:11:33 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:11:33 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:11:33 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:11:33 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:11:33 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:11:33 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:11:33 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:11:33 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:13:21 GMT | INFO | loggers.log | Verified User has valid token | 
Mon, 29 Jun 2020 16:13:22 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:13:22 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:13:22 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:13:22 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:13:22 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:13:22 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:13:22 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:13:22 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:13:22 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:13:33 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:13:33 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:13:33 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:13:33 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:13:37 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:13:37 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:13:37 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:13:37 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:16:34 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Mon, 29 Jun 2020 16:16:34 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:16:34 GMT | INFO | loggers.log | Connected to mongodb | 
Mon, 29 Jun 2020 16:16:45 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:16:45 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:16:45 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:16:45 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:16:57 GMT | INFO | loggers.log | User is connect to Socket IO  | 
Mon, 29 Jun 2020 16:16:57 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:16:57 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Mon, 29 Jun 2020 16:16:57 GMT | INFO | loggers.log | User jamesb communicated with the server | 
Mon, 29 Jun 2020 16:16:57 GMT | INFO | loggers.log | Current User is permitted access to this route | 
